fdi_2013,fdi_2014,fdi_2015,fdi_2016,fdi_2017,fdi_2018,fdi_2019,hometown,fdi_2020
3400.412,3354.113,226.126736,164.3520128888889,105.92657142,445.47906339689996,606.2901658347826,thai nguyen,400.76965606716794
2921.2,181.65325,43.975742,233.40786,3171.7098576666667,364.67509975712005,350.00184066396054,thanh hoa,349.54334674859257
2612.564271,1117.6738639999999,902.729146,2989.909976852533,884.8866770513778,3093.492027053592,1383.5404094619153,hai phong,1510.551380109769
2030.7464870000001,61.075332,90.804155,6.4452,30.389439632533335,19.116305086700002,180.1674759620762,binh thuan,100.4483870090414
1554.562183,3108.312989,4100.24255642,3428.3276070130933,6505.960802848369,5948.646436791714,8295.410335946628,ho chi minh,4355.930949473748
1527.937719,1585.4888090000002,3663.037567,899.9940074666666,3404.5350248548884,1123.9976067834887,1582.5960561744978,bac ninh,901.1924930053774
1152.071342,1831.196398,1805.136285,2238.224549467568,1763.999741008748,1455.5794113074915,2143.38918745948,dong nai,928.3486103762499
1026.512472,1043.247423,1126.87298724,2794.444546091556,2498.9458557722987,7519.313810721488,8454.689643259495,ha noi,3585.5378179687796
1024.73,129.63,58.396753000000004,85.27614799999999,150.17560577777778,157.2373265555,90.65532638001915,binh dinh,44.99888170477232
989.2330489999999,1467.565291,3128.646584,2367.207611222222,2798.174992872169,2327.160206677994,3412.805079162762,binh duong,1883.6667533258399
682.5604020000001,537.511911,407.183981,415.7546541111111,366.1476186896889,597.0089961266348,683.9606200437985,hai duong,520.2759723667652
409.109384,403.944089,379.626605,389.2882284773334,203.42872049124443,385.183763249431,581.0809792294783,vinh phuc,540.7105777256871
215.94,66.124381,92.110893,414.5315215555556,150.05064298444444,246.96368755273,395.3293076919184,tien giang,167.15409862365414
205.02742,336.78799,651.8413230000001,822.9134404595111,510.92987905795576,688.2806850307696,797.7644313949631,long an,810.2965937202615
199.91899999999998,218.699606,759.7090000000001,531.7377525268889,527.4820506422045,2114.6797248282123,1085.3509338986673,ba ria vung tau,2173.796798433945
182.8,437.3,540.579,701.438508,1009.2492833626444,836.8231284061744,1253.480137295846,tay ninh,548.0658000611913
140.556282,60.49444899999999,44.282194000000004,97.26546515773333,142.57060760884443,311.8089976090563,514.269956093962,da nang,217.54333777280686
140.231732,211.020453,447.46274700000004,1010.0307522986112,855.5245405777333,542.9965801811339,1102.0660657364872,bac giang,894.6893312513877
133.14000000000001,290.625,355.241514,705.032115,244.59763551746664,436.748981916983,843.1648863148458,ha nam,729.7547076618748
118.747919,448.24552900000003,329.631353,392.3913662222222,521.6057970881334,478.41850666782597,460.1834138394561,hung yen,487.77488092290656
117.997,604.317056,438.890629,555.6255736666666,59.747769644444446,398.1451168795067,242.11073269565213,quang ninh,505.6592834298012
87.485,155.881,260.259466,105.20266000000001,511.7754963311111,480.68108540766997,448.9771085593756,binh phuoc,369.09981178330895
86.140385,29.104,24.1,21.981818000000004,374.589,366.38646988889,134.77151452173916,quang ngai,131.57255659808902
76.290226,7.354762,33,4.773404,1313.340590222222,353.89560644448994,20.668152361616546,kien giang,14.316927778256007
71.239,10.1,2526.8,256.503212,143.29617333333334,150.82434400006667,110.48625063786957,tra vinh,117.49087134681933
66.39,44.4,140.509724,30.24442511111111,6.512409351111111,1272.38613324938,323.2742375158973,hue,42.19545471530516
59.222799,78.781324,173.63199999999998,32.352344,236.15384693595556,394.95815547642997,59.736911388452405,ben tre,568.7019646499957
49.620999999999995,42.2,162.23575399999999,391.26443644444447,98.90690976924446,132.7600942114,32.6413695252923,ha tinh,15.573274920332267
49.18,49,NA,NA,15.13688888888889,2.09765384,0.3791413043478264,son la,0.878927433933029
41.32172,59.3,43.478339,90.181,234.06455555555556,207.19369166667,147.9618301731538,ninh binh,115.73195893802186
37.204717,NA,NA,26.318006,18.348827777777778,0.8355555555999999,0.9442166251675924,lao cai,7.6545842472239
32.35,53.9,0.60854,88.30327119964444,266.1200446888889,401.6486095777778,130.17649817391305,ninh thuan,-135.2861420000198
23.2,49.996047000000004,49.63822,54.01928988888889,99.50726440182223,56.064134771570004,66.33246112634744,thai binh,90.8874592883705
22.12,9.527273000000001,206.28932,72.49,123.48303140622222,25.68169033736,315.0504008104348,nghe an,169.44608341542565
14.68477,30,10.428057,18.405202777777777,76.46413566666666,7.3462086667,13.024915347826088,dong thap,16.209744175690805
12.5,4.5,0.888889,4,4,0.7066666666999999,20,quang tri,20.17450488370195
12,19.031934,78.7,2.704507888888889,238.14573277777777,8.235597666700002,7.296169719999999,yen bai,8.281896250150647
11.978572,5,25,70,0.9441226666666667,5.898,71.03913043478262,hau giang,5.081776706550745
9,NA,NA,NA,8.166666666666668,NA,0.0707304347826087,cao bang,0.084090746061806
8.903302,138.35,115.66,304.3536402222222,2303.9805535555556,278.79328211116,64.72257402956524,nam dinh,97.90834295665812
8.85,20.930487,94.98899999999999,198.86374866666665,230.1522192,165.33684133628998,348.4496346506636,phu tho,290.739649575003
8.722465,31.837336,17.901809,241.1107602222222,26.88085788705778,37.44157146486,68.79229894782608,can tho,43.62073052247224
8.087,27.332349999999998,10.115094,41.44353644444445,72.60351523715556,10.421539544440002,24.484091173489183,lam dong,18.336143923043807
8,43.8,3.000003,8.7655,38.72202462222222,215.16128551123998,-1.0379133043478268,hoa binh,24.278569242145142
7.4,149.661634,93.82620499999999,10.647354666666667,7.928098017377779,2.2097637952,65.37991618981039,an giang,5.69772871171559
6,1258.561907,55.658857,68.05424,2626.4020598888887,90.8992934367,199.487155934525,khanh hoa,76.56562172213825
